Model;Price with NDS;Price without NDS;Stok;LINK
MikroTik_Audience;418.20AZN;ƏDV xaric: 354.41AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=103&product_id=722
MikroTik_Audience_LTE6_kit_;676.60AZN;ƏDV xaric: 573.39AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=103&product_id=816
MikroTik_CCR2004_16G_2S+;1.156.00AZN;ƏDV xaric: 979.66AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=103&product_id=987
MikroTik_Chateau_5G;1.314.10AZN;ƏDV xaric: 1.113.64AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=103&product_id=986
MikroTik_Chateau_LTE12;479.40AZN;ƏDV xaric: 406.27AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=103&product_id=902
MikroTik_CRS354_48G_4S+2Q+RM;1.230.80AZN;ƏDV xaric: 1.043.05AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=103&product_id=605
MikroTik_CRS354_48P_4S+2Q+RM;2.223.60AZN;ƏDV xaric: 1.884.41AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=103&product_id=717
MikroTik_CSS610_8G_2S+IN;246.50AZN;ƏDV xaric: 208.90AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=103&product_id=900
MikroTik_Cube_Lite60;170.00AZN;ƏDV xaric: 144.07AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=103&product_id=715
MikroTik_hAP_ac3;314.50AZN;ƏDV xaric: 266.53AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=103&product_id=872
