Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе 
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,4327,5409,20,На складе
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,2386,2982,20,На складе
Математическое программирование.СПО,Ганичева Антонина Валериановна,Лань:Математика,1034,1293,20,Ограничено
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64,Йо Ван Гуй,ДМК-Пресс,1632,2040,20,На складе
Обработка и представление данных в MS Excel. СПО,"Бурнаева Эльфия Гарифовна, Леора Светлана Николаевна",Лань:Компьютеры и программное обеспечение,853,1066,20,На складе
"Веб-дизайн для начинающих. HTML, CSS, JavaScript и веб-графика",Роббинс Дженнифер Нидерст,BHV,2117,2646,20,На складе
Разработка веб-приложений на WordPress,"Мессенленер Брайан, Коулман Джейсон",BHV,1331,1664,20,На складе
Парадигма программирования. Учебное пособие,Городняя Лидия Васильевна,Лань:Учебники для вузов. Специальная литература,1913,2391,20,На складе
ASP.NET Core 3 с примерами на C# для профессионалов,Фримен Адам,Вильямс,5531,6914,20,На складе
PowerShell для сисадминов,Бертрам Адам,Питер:Для профессионалов,1887,2359,20,На складе
Защита данных. От авторизации до аудита,Андресс Джейсон,Питер:Для профессионалов,1254,1568,20,На складе
Создаем динамические веб-сайты на PHP,"Татро Кевин, Макинтайр Питер",Питер:Бестселлеры O`Reilly,1887,2359,20,На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Компьютеры и программное обеспечение,1549,1936,20,На складе
HTTP/2 в действии,Поллард Барри,ДМК-Пресс,2121,2651,20,На складе
Методика моделирования динамики октокоптера,Щекатуров Александр Михайлович,ДМК-Пресс,1305,1631,20,На складе
"Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое",Курт Уилл,Питер:Библиотека программиста,2266,2833,20,На складе
Python. Лучшие практики и инструменты,"Яворски Михаил, Зиаде Терек",Питер:Библиотека программиста,2266,2833,20,На складе
Raspberry Pi 4. Официальное руководство для начинающих,Халфакри Гарет,ДМК-Пресс,1632,2040,20,На складе
Laravel 8. Быстрая разработка веб-сайтов на PHP,Дронов Владимир Александрович,BHV:Профессиональное программирование,1198,1497,20,На складе
Разработка Android-приложений на С# с использованием Xamarin с нуля,Умрихин Евгений Дмитриевич,BHV:С нуля,790,988,20,На складе
Атаки на веб и WordPress,,BHV:Библиотека журнала «Хакер»,593,741,20,На складе
Linux глазами хакера,Фленов Михаил Евгеньевич,BHV:Глазами Хакера,790,988,20,На складе
Вероятностное программирование,Колбин Вячеслав Викторович,Лань:Математика,2477,3096,20,Ограничено
C# 9.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1382,1728,20,На складе
Восстановление данных. Практическое руководство,Касперски Крис и др.,BHV,734,917,20,На складе
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие,"Пащенко Федор Федорович, Кудинов Юрий Иванович",Лань:Компьютеры и программное обеспечение,2862,3577,20,На складе
Обработка естественного языка. Python и spaCy на практике,Васильев Юрий,Питер:Библиотека программиста,1261,1576,20,На складе
Python для финансовых расчетов,Хилпиш Ив,Диалектика:Самоучитель,5531,6914,20,На складе
Разработка и анализ компьютерных алгоритмов,Ахо Альфред В. и др.,Вильямс,2074,2592,20,На складе
Научное программирование на Python,Хилл Кристиан,ДМК-Пресс,2610,3263,20,На складе
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку на JavaScript,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",Лань:Учебники для вузов. Специальная литература,1422,1778,20,На складе
C#. Основы программирования (+CD). СПО,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,1857,2321,20,На складе
C#. Программирование 2D и 3D векторной графики (+CD). СПО,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,2053,2566,20,На складе
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows,"Заяц Анатолий Моисеевич, Хабаров Сергей Петрович",Лань:Компьютеры и программное обеспечение,1702,2128,20,На складе
Построение распределенных систем на базе WebSocket. Учебное пособие,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань:Компьютеры и программное обеспечение,1602,2003,20,Ограничено
Практическое введение в язык программирования Си. СПО,"Солдатенко Илья Сергеевич, Попов Иван Владимирович",Лань:Компьютеры и программное обеспечение,1086,1358,20,На складе
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку. СПО,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",Лань:Компьютеры и программное обеспечение,1180,1475,20,Ограничено
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,1304,1630,20,На складе
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,1086,1358,20,На складе
Простой Python для опытных программистов,Гаско Рик,Солон-пресс:Программирование,820,1025,20,На складе
Профессиональная разработка на Python,Уилкс Мэттью,ДМК-Пресс,2774,3467,20,На складе
Программируй & типизируй,Ришкуция Влад,Питер:Библиотека программиста,1818,2273,20,На складе
Основы Python. Научитесь мыслить как программист,Дауни Аллен Б.,"Манн, Иванов и Фербер",991,1271,22,На складе
SimInTech. Преобразователи автономных источников электроэнергии,"Калачёв Ю. Н., Александров А. Г.",ДМК-Пресс,501,626,20,На складе
JavaScript. Готовые программы. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1431,1789,20,Ограничено
JavaScript. Готовые программы. СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1272,1590,20,На складе
TypeScript быстро,"Файн Яков, Моисеев Антон",Питер:Для профессионалов,2025,2531,20,На складе
C# 8 и .NET Core. Разработка и оптимизация,Прайс Марк Дж.,Питер:Для профессионалов,2806,3507,20,На складе
Разработка базы данных в Access. Учебное пособие,Волик Мария Владимировна,Прометей,430,537,20,На складе
Основы программирования на языке С. Учебное пособие,"Гагарина Лариса Геннадьевна, Дорогова Екатерина Георгиевна",ИНФРА-М:Высшее образование. Бакалавриат,2054,2567,20,На складе
Java. Быстрый старт,Чан Джейми,Питер:Библиотека программиста,828,1035,20,На складе
Python. Быстрый старт,Чан Джейми,Питер:Библиотека программиста,828,1035,20,На складе
CSS для профи,Грант Кит,Питер:Библиотека программиста,1638,2048,20,На складе
Kubernetes. Лучшие практики. Построение эффективных приложений,Бернс Брендан и др.,Питер:Для профессионалов,1240,1550,20,На складе
C++ для профи,Лоспинозо Джош,Питер:Для профессионалов,2647,3309,20,На складе
Интеллектуальные информационные системы и методы искусственного интеллекта,"Андрейчиков Александр Валентинович, Андрейчикова Ольга Николаевна",ИНФРА-М:Высшее образование. Магистратура,4698,5873,20,На складе
Современный скрапинг веб-сайтов с помощью Python,Митчелл Райан,Питер:Бестселлеры O`Reilly,1810,2263,20,На складе
Инструментальные средства разработки программного обеспечения Системы Fossil,Орещенков Игорь Сергеевич,Лань:Компьютеры и программное обеспечение,2068,2585,20,На складе
"Эффективный Java. Тюнинг кода на Java 8, 11 и дальше",Оукс Скотт,Питер:Бестселлеры O`Reilly,2633,3291,20,На складе
Веб-разработка с применением Node и Express. Полноценное использование стека JavaScript,Браун Итан,Питер:Бестселлеры O`Reilly,1672,2090,20,На складе
gRPC. Запуск и эксплуатация облачных приложений. Go и Java для Docker и Kubernetes,"Индрасири Касун, Курупу Данеш",Питер:Бестселлеры O`Reilly,1392,1740,20,На складе
Python. Сборник упражнений,Стивенсон Бен,ДМК-Пресс,978,1223,20,На складе
Совершенный алгоритм. Алгоритмы для NP-трудных задач,Рафгарден Тим,Питер:Библиотека программиста,1532,1915,20,На складе
"Стильный Java. Код, который работает всегда и везде",Фаэлла Марко,Питер:Библиотека программиста,1972,2465,20,На складе
Внедрение зависимостей на платформе .NET,"Симан Марк, Дерсен Стивен Ван",Питер:Для профессионалов,2633,3291,20,На складе
От монолита к микросервисам,Ньюмен Сэм,BHV,851,1064,20,На складе
Электроника. Занимательная электроника,Ревич Юрий Всеволодович,BHV:Электроника,907,1134,20,На складе
Проекты с использованием контроллера Arduino,Петин Виктор Александрович,BHV:Электроника,851,1064,20,На складе
Карьера программиста,Лакман Макдауэлл Гейл,Питер:Библиотека программиста,1646,2057,20,На складе
Практикум по проектированию на языках VerilogHDL и SystemVerilog. Учебное пособие,"Мурсаев Александр Хафизович, Буренева Ольга Игоревна",Лань:Учебники для вузов. Специальная литература,978,1222,20,На складе
Глубокое обучение. Легкая разработка проектов на Python,Вейдман Сет,Питер:Бестселлеры O`Reilly,2354,2942,20,На складе
Паттерны проектирования для C# и платформы .NET Core,"Арораа Гаурав, Чилберто Джеффри",Питер:Для профессионалов,2717,3396,20,На складе
Структуры и алгоритмы обработки данных. Учебник для СПО,"Павлов Леонид Александрович, Первова Наталия Викторовна",Лань:Компьютеры и программное обеспечение,1202,1503,20,Ограничено
Численные методы и программирование. Учебное пособие для СПО,Слабнов Виктор Дмитриевич,Лань:Компьютеры и программное обеспечение,3180,3975,20,На складе
Web-программирование на JavaScript. Учебное пособие для СПО,Диков Андрей Валентинович,Лань:Компьютеры и программное обеспечение,1194,1492,20,Ограничено
Технология разработки программного обеспечения. Учебное пособие для СПО,Зубкова Татьяна Михайловна,Лань:Компьютеры и программное обеспечение,2110,2638,20,На складе
"“Непрактичный” Python. Занимательные проекты для тех, кто хочет поумнеть",Воган Ли,BHV,968,1210,20,На складе
Разработка приложений на Swift 5.1 и SwiftUI с нуля,Казанский Александр Анатольевич,BHV:С нуля,851,1064,20,На складе
WordPress с нуля,Молочков Владимир Петрович,BHV:С нуля,556,695,20,На складе
Изучаем C++ через программирование игр,Доусон Майкл,Питер,890,1113,20,На складе
Совершенный софт. Совершенный софт — совершенная,Леве Джувел,Питер:Для профессионалов,1798,2247,20,На складе
"Spark в действии. С примерами Java, Python и Scala",Перрен Жан-Жорж,ДМК-Пресс,2774,3467,20,На складе
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников,"Фоукс Линда, Спарроу Уоррен",ДМК-Пресс,1632,2040,20,На складе
Еще более эффективный Agile,Макконнелл Стив,Питер:IT для бизнеса,1240,1550,20,На складе
Секреты Python Pro,Хиллард Дейн,Питер:Для профессионалов,1937,2421,20,На складе
Программирование на Python в примерах и задачах,Васильев Алексей Николаевич,Бомбора:Российский компьютерный бестселлер,944,1210,22,На складе
Моделирование и оптимизация процессов управления в технологических системах. Учебник,"Колтунов Игорь Ильич, Крыжановская Татьяна Георгиевна",Кнорус:Магистратура,1140,1425,20,На складе
Квантовые вычисления. Прикладной подход,Хидари Джек Д.,ДМК-Пресс,1632,2040,20,На складе
JavaScript. Полное руководство,Флэнаган Дэвид,Вильямс,3458,4322,20,На складе
Проектирование информационных систем. Основы управления проектами. СПО,"Баллод Борис Анатольевич, Гвоздева Татьяна Вадимовна",Лань:Компьютеры и программное обеспечение,646,808,20,На складе
Проектирование информационных систем. Методы и средства структурно-функционального проектирования,"Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань:Компьютеры и программное обеспечение,1194,1492,20,Ограничено
Структуры дан.в C#.Лин.и нелин.динамич.структ.СПО,Симонова Елена Витальевна,Лань:Компьютеры и программное обеспечение,1272,1590,20,На складе
"Проектирование информационных систем. Стандартизация, техническое документирование информ. систем","Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань:Компьютеры и программное обеспечение,1568,1960,20,Ограничено
Системы отображения информации. Дискретные индикаторы. Учебник для вузов,Смирнов Виктор Михайлович,Лань:Компьютеры и программное обеспечение,2435,3044,20,На складе
"Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО",Журавлев Антон Евгеньевич,Лань:Компьютеры и программное обеспечение,1511,1889,20,На складе
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов,Кудинов Юрий Иванович и др.,Лань:Компьютеры и программное обеспечение,2213,2766,20,На складе
Мультимедийные технологии. Учебник для СПО,Катунин Геннадий Павлович,Лань:Компьютеры и программное обеспечение,3339,4174,20,Ограничено
"Swift. Основы разработки приложений под iOS, iPadOS и macOS",Усов Василий,Питер:Библиотека программиста,1603,2004,20,На складе
Система модулей Java,Парлог Николай,Питер:Для профессионалов,2076,2595,20,На складе
Системы искусственного интеллекта. Учебное пособие,Бураков Михаил Владимирович,Проспект,523,654,20,На складе
Как программировать на С++,"Дейтел Харви, Дейтел Пол Дж.",Бином,1493,1866,20,На складе
Игровой движок. Программирование и внутреннее устройство,Грегори Джейсон,Питер:Для профессионалов,4432,5540,20,На складе
Принципы юнит-тестирования,Хориков Владимир,Питер:Для профессионалов,1101,1376,20,На складе
Python. Экспресс-курс,Седер Наоми,Питер:Библиотека программиста,1185,1481,20,На складе
Java. Эффективное программирование,Блох Джошуа,Вильямс,2765,3456,20,На складе
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер:Бестселлеры O`Reilly,1658,2073,20,На складе
DevOps для ИТ-менеджеров,Скрынник Олег,ДМК-Пресс,1060,1325,20,На складе
Kubernetes в действии,Лукша Марко,ДМК-Пресс,2447,3059,20,На складе
Смарт-карты и информационная безопасность,"Мытник Константин Яковлевич, Панасенко Сергей Петрович",ДМК-Пресс:Безопасность и защита,1632,2040,20,На складе
Эффективный и современный С++. 42 рекомендации по использованию C++11 и C++14,Мейерс Скотт,Диалектика,2765,3456,20,На складе
CSS. Карманный справочник,Мейер Эрик,Вильямс,835,1044,20,На складе
Изучаем регулярные выражения,Форта Бен,Вильямс,565,706,20,На складе
Пользовательские истории. Гибкая разработка программного обеспечения,Кон Майк,Вильямс,2765,3456,20,На складе
Паскаль для школьников. Учебное пособие,Попов В. Б.,РИОР,2267,3487,35,На складе
Архитектура компьютера,"Таненбаум Эндрю, Остин Т.",Питер:Классика computer science,1532,1915,20,На складе
Java. Руководство для начинающих,Шилдт Герберт,Диалектика,2765,3456,20,На складе
Алгоритмы. Построение и анализ,Кормен Томас и др.,Диалектика,6914,8642,20,На складе
Изучай Erlang во имя добра!,Хеберт Фред,ДМК-Пресс,1468,1835,20,На складе
Программируй на Haskell,Курт Уилл,ДМК-Пресс:Функциональное программирование,1958,2447,20,На складе
"Конфигурирование и моделирование в системе ""1С: Предприятие"". Учебник",Дадян Эдуард Григорьевич,ИНФРА-М:Высшее образование. Магистратура,2945,3681,20,На складе
Алгоритмы на C++,Седжвик Роберт,Вильямс,4149,5186,20,На складе
Программирование на C для чайников,Гукин Дэн,"Диалектика:Для ""чайников""",1382,1728,20,На складе
Python. Справочник. Полное описание языка,Мартелли Алекс и др.,Диалектика,3458,4322,20,На складе
Теоретический минимум по Big Data. Всё что нужно знать о больших данных,"Ын Анналин, Су Кеннет",Питер:Библиотека программиста,698,873,20,На складе
"HTML, JavaScript, PHP и MySQL. Джентльм.наб. Изд.5","Дронов Владимир Александрович, Прохоренок Николай Анатольевич",BHV:Профессиональное программирование,1282,1603,20,На складе
Проекты с использованием контроллера Arduino,Петин Виктор Александрович,BHV:Электроника,714,892,20,Ограничено
Основы программирования на языке Python,Златопольский Дмитрий Михайлович,ДМК-Пресс,662,827,20,На складе
Методы научных исследований в программной инженерии,Пантелеев Евгений Рафаилович,Лань:Учебники для вузов. Специальная литература,933,1166,20,На складе
Структуры данных в C#. Линейные и нелинейные динамические структуры. Учебное пособие,Симонова Елена Витальевна,Лань:Учебники для вузов. Специальная литература,1216,1520,20,Ограничено
Программируем на Python,Доусон Майкл,Питер,1114,1393,20,На складе
HTML5. Карманный справочник,Роббинс Дженнифер,Вильямс,835,1044,20,На складе
Искусство программирования. Том 4А. Комбинаторные алгоритмы. Часть 1,Кнут Дональд Эрвин,Вильямс,5531,6914,20,На складе
Практика программирования,"Керниган Брайан, Пайк Роб",Вильямс,1382,1728,20,На складе
Введение в системы баз данных,Дейт К. Дж.,Диалектика,4840,6050,20,На складе
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер:Для профессионалов,1185,1481,20,На складе
Решение задач на современном C++,Бансила Мариус,ДМК-Пресс,1305,1631,20,На складе
Философия Java,Эккель Брюс,Питер:Классика computer science,2010,2513,20,На складе
Python для сложных задач. Наука о данных и машинное обучение,Плас Дж. Вандер,Питер:Бестселлеры O`Reilly,1552,1940,20,На складе
Python 3. Самое необходимое,"Прохоренок Николай Анатольевич, Дронов Владимир Александрович",BHV:Самое необходимое,944,1180,20,На складе
Разработка программных приложений в среде BlackBox. Учебное пособие,Болотнов Анатолий Миронович,Лань:Учебники для вузов. Специальная литература,1209,1511,20,На складе
Технологии интеллектуального анализа данных. Учебное пособие,"Макшанов Андрей Владимирович, Журавлев Антон Евгеньевич",Лань:Учебники для вузов. Специальная литература,1601,2001,20,На складе
Осваиваем C++17 STL. Используйте компоненты стандартной библиотеки в C++17 STL в полной мере,О`Двайр Артур,ДМК-Пресс,1632,2040,20,На складе
Начинаем программировать на Python,Гэддис Тони,BHV,1670,2087,20,На складе
Python 3 и PyQt 5. Разработка приложений. 2-е издание,"Прохоренок Николай Анатольевич, Дронов Владимир Александрович",BHV:Профессиональное программирование,1282,1603,20,На складе
Язык программирования C,"Керниган Брайан, Ритчи Деннис",Вильямс,1660,2075,20,На складе
Построение систем машинного обучения на языке Python,"Коэльо Луис Педро, Ричарт Вилли",ДМК-Пресс,1142,1427,20,На складе
Head First. Паттерны проектирования. Обновленное юбилейное издание,Фримен Эрик и др.,Питер:Head First (O'Reilly),1532,1915,20,На складе
C# для профессионалов. Тонкости программирования,Скит Джон,Вильямс,3458,4322,20,На складе
Python. Карманный справочник,Лутц Марк,Диалектика,1107,1384,20,На складе
Искусство программирования. Том 1. Основные алгоритмы,Кнут Дональд Эрвин,Вильямс,4840,6050,20,На складе
Язык программирования C. Лекции и упражнения,Прата Стивен,Диалектика,4149,5186,20,На складе
C# 4.0. Полное руководство,Шилдт Герберт,Диалектика,3458,4322,20,На складе
Реализация методов предметно-ориентированного проектирования,Вернон Вон,Диалектика,4149,5186,20,На складе
Эффективное программирование на C++. Практическое программирование на примерах,"Му Барбара Э., Кениг Эндрю",Диалектика,1830,2288,20,Ограничено
Веб-программирование для чайников,Никхил Абрахам,"Диалектика:Для ""чайников""",1660,2075,20,На складе
Язык программирования Go,"Керниган Брайан, Донован Алан А. А.",Диалектика,2074,2592,20,На складе
PHP7 для начинающих с пошаговыми инструкциями,МакГрат Майк,Эксмо-Пресс:Программирование - это просто,568,728,22,На складе
Angular. Сборник рецептов,Фрисби Мэтт,Вильямс,1382,1728,20,Ограничено
Java. Полное руководство,Шилдт Герберт,Вильямс,4840,6050,20,На складе
Исследование операций,Таха Хемди А.,Диалектика,4149,5186,20,На складе
Компиляторы. Краткий справочник,Хантер Робин,Вильямс,916,1145,20,Ограничено
Структуры данных и алгоритмы,Ахо Альфред В. и др.,Вильямс,1660,2075,20,На складе
Язык программирования C# 7 и платформы .NET и .NET Core,"Троелсен Эндрю, Джепикс Филипп",Вильямс,5531,6914,20,На складе
Семь моделей конкуренции и параллелизма за семь недель,Батчер Пол,ДМК-Пресс,1142,1427,20,На складе
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla,Волков Владимир Юрьевич,Лань,1193,1491,20,На складе
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.,Клейн Тобиас,ДМК-Пресс,819,1024,20,На складе
Введение в UML от создателей языка,Рамбо Джеймс и др.,ДМК-Пресс:Классика программирования,978,1223,20,На складе
Технологии программирования на Java 2. Распределенные приложения,Дейтел Харви и др.,Бином,477,596,20,Ограничено
Silverlight 4. Создание насыщенных Web-приложений,Байдачный Сергей Сергеевич,Солон-пресс:Библиотека профессионала,446,557,20,На складе
EJB 3 в действии,Панда Дебу и др.,ДМК-Пресс:Программирование в действии,1632,2040,20,На складе
"Обработка неструктурированных текстов. Поиск, организация и манипулирование",Ингерсолл Грант С. и др.,ДМК-Пресс:Программирование в действии,1223,1529,20,На складе
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell,Бёрд Ричард,ДМК-Пресс,978,1223,20,Ограничено
Асинхронное программирование в C# 5.0,Дэвис Алекс,ДМК-Пресс,422,527,20,На складе
"Программирование в Delphi для Windows: Версии 2006, 2007, Turbo Delphi (+СD)",Архангельский Алексей Яковлевич,Бином: ,1078,1348,20,На складе
Радиолюбительские конструкции на PIC-микроконтроллерах. Книга 1 (+CD),Заец Николай Иванович,Корона-Принт,516,645,20,На складе
Практика программирования на языке Паскаль. Задачи и решения,Медведик Владимир Иванович,ДМК-Пресс,1142,1427,20,На складе
Методы обработки и распознавания изображений лиц в задачах биометрии,Кухарев Георгий Александрович и др.,Политехника,970,1212,20,На складе
Эффективные технологии создания информационных систем,"Мещеряков Сергей Владимирович, Иванов Владимир Михайлович",Политехника,542,677,20,На складе
Введение в теорию языков программирования,"Довек Жиль, Леви Жан-Жак",ДМК-Пресс,501,626,20,На складе
Spring в действии,Уоллс Крейг,ДМК-Пресс:Программирование в действии,1632,2040,20,На складе
Программирование на языке OCaml,Мински Ярон и др.,ДМК-Пресс:Функциональное программирование,1632,2040,20,На складе
Платформа Windows Azure,"Редкар Теджасви, Тони Гвидичи",ДМК-Пресс,1305,1631,20,На складе
"За пределами ""Linux с нуля"". Версия 7.4. Том 2",,ДМК-Пресс,1305,1631,20,На складе
Расширение библиотеки jQuery,Вуд Кит,ДМК-Пресс,978,1223,20,Ограничено
.NET Сетевое программирование,Кумар Винод и др.,Лори,1022,1277,20,На складе
Редкая профессия,Зуев Евгений Александрович,ДМК-Пресс,501,626,20,На складе
Моделирование электротехнических устройств в MATLAB. SimPowerSystems и Simulink,Черных Илья Викторович,ДМК-Пресс:Проектирование,662,827,20,На складе
Java. Эффективное программирование,Блох Джошуа,Лори,943,1179,20,На складе
Разработка веб-приложений с использованием AngularJS,"Козловский Павел, Бэкон Дарвин Питер",ДМК-Пресс,1060,1325,20,На складе
Zend Framework 2.0 разработка веб-приложений,Шасанкар Кришна,Питер:Библиотека программиста,466,583,20,Ограничено
"Разработка приложений для Windows Phone. Архитектура, фреймворки, API",Гецманн Патрик и др.,BHV,1224,1530,20,На складе
Основы теории вейвлетов. Вейвлеты в MATLAB,Смоленцев Николай Константинович,ДМК-Пресс:Математика и Matlab,1272,1590,20,Ограничено
Google App Engine Java и Google Web Toolkit. Разработка Web-приложений,Машнин Тимур Сергеевич,BHV:Профессиональное программирование,530,662,20,Ограничено
Visuai Basic в задачах и примерах,Сафронов Игорь Константинович,BHV:В задачах и примерах,266,332,20,На складе
LabVIEW. Практический курс для инженеров и разработчиков,Магда Юрий Степанович,ДМК-Пресс:Все о LabVIEW,501,626,20,На складе
Самоучитель PHP 5/6,"Кузнецов Максим Валерьевич, Симдянов Игорь Вячеславович",BHV:Самоучитель,719,899,20,На складе
"Применение микроконтролеров PIC18. Архитектура, программирование с применением С и ассемблера (+CD)",Брэй Барри,Корона-Принт,1094,1368,20,На складе
Программирование для школьников и студентов. Учебное пособие,"Колесов Вадим Владимирович, Романов Максим Николаевич",Феникс:Абитуриент,183,234,22,На складе
jQuery Mobile. Разработка приложений для смартфонов и планшетов,Фиртман Максимилиано,BHV,332,415,20,На складе
"Принципы построения, применения и проектирования компьютерной платформы U-SYS","Росляков Александр Владимирович, Крылов Павел Сергеевич",Солон-пресс:Библиотека студента,331,414,20,На складе
Разработка приложений Java EE 6 в NetBeans 7,Хеффельфингер Дэвид,ДМК-Пресс,978,1223,20,Ограничено
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум,Санников Е. В.,Солон-пресс:Элективный курс. Профильное обучение,688,860,20,На складе
MUMPS СУБД Практика применения и опыт программирования,Каратаев Евгений Анатольевич,Солон-пресс:Библиотека профессионала,1310,1637,20,Ограничено
C++ AMP. Построение массивно параллельных программ с помощью Microsoft Visual C++,"Грегори Кейт, Миллер Эйд",ДМК-Пресс,1142,1427,20,Ограничено
Оптимизация производительности приложений для iOS. Для профессионалов,Во Ханг,ДМК-Пресс,902,1127,20,На складе
Методы программирования. Компьютерные вычисления,"Могилев Александр Владимирович, Листрова Людмила Викторовна",BHV:Информатика и ИКТ,406,507,20,Ограничено
"TV-приемники на шасси VESTEL 11АКхх. Телевизионные шасси 11АК20, 11АК30, 11АК36, РТ-92 (+CD)",Безверхний И. Б.,МК-Пресс,293,366,20,Ограничено
Изучаем программирование для iPAD. Практич. руководство по созданию приложений для iPAD с ОС iOS 5,"Тэрнер Кирби, Харрингтон Том",ДМК-Пресс,1174,1468,20,На складе
Программирование на алгоритмическом языке КуМир,"Анеликова Людмила Александровна, Гусева Ольга Борисовна",Солон-пресс:Элективный курс. Профильное обучение,242,303,20,На складе
Создание web-приложений в Silverlight,Буньон Лоран,ДМК-Пресс,814,1018,20,На складе
С++ для начинающих,Шилдт Герберт,Эком:Шаг за шагом,884,1105,20,На складе
Цифровая обработка сигналов. Моделирование в Simulink,Солонина Алла Ивановна,BHV:Учебное пособие,488,610,20,На складе
XSLT. Сборник рецептов,Мангано Сэл,BHV,888,1110,20,На складе
Основы Microsoft Visual Studio .NET 2003,Джонсон Брайан и др.,Русская редакция:Фундаментальные знания,307,384,20,На складе
Средства информатизации. Телекоммуникационные технологии,"Могилев Александр Владимирович, Листрова Людмила Викторовна",BHV:Информатика и ИКТ,290,363,20,Ограничено
iPhone. Разработка приложений с открытым кодом,Здзиарски Джонатан,BHV:Бестселлеры O`Reilly,320,400,20,Ограничено
Профессиональное программирование приложений для iPhone и iPad,Баклин Джин,Эксмо:Мировой компьютерный бестселлер,1026,1316,22,На складе
JavaFX 2.0. Разработка RIA-приложений,Машнин Тимур Сергеевич,BHV:Профессиональное программирование,359,449,20,На складе
Программирование для студентов и школьников на примере Small Basic,Ахметов Ильдар Геннадьевич,BHV:Информатика и ИКТ,190,237,20,На складе
Silverlight. Практическое руководство,Браун Пит,Питер,1366,1708,20,На складе
PHP. Создание динамических страниц,Пауэрс Дэвид,Рид Групп:Веб-технологии,1112,Нет старого прайса,Нет скидки,На складе
