Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Искусство тестирования на проникновение в сеть,Дэвис Ройс,ДМК-Пресс,1632,2040,20,На складе
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,ДМК-Пресс,1468,1835,20,На складе
Data Science для карьериста,"Нолис Жаклин, Робинсон Эмили",Питер:Библиотека программиста,1995,2494,20,На складе
"Экстремальный Cи. Параллелизм, ООП и продвинутые возможности",Амини Камран,Питер:Для профессионалов,2520,3150,20,На складе
Алгоритмы обработки текста. 125 задач с решениями,Крошемор Максим и др.,ДМК-Пресс,1632,2040,20,На складе
Аналитика в Power BI с помощью R и Python,Уэйд Райан,ДМК-Пресс,2121,2651,20,На складе
Программирование. Введение в профессию. Том 2. Системы и сети,Столяров Андрей Викторович,ДМК-Пресс,2447,3059,20,На складе
Программирование. Введение в профессию. Том 3. Парадигмы,Столяров Андрей Викторович,ДМК-Пресс,2447,3059,20,На складе
C#. Алгоритмы и структуры данных. Учебное пособие для вузов,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,2874,3593,20,Ограничено
"Python, например",Лейси Никола,Питер:Библиотека программиста,1012,1265,20,На складе
Язык программирования Java и среда NetBeans (+DVD),Монахов Вадим Валерьевич,BHV:Мастер решений,607,759,20,На складе
Flex 4. Рецепты программирования,Ноубл Джошуа и др.,BHV:Рецепты программирования,912,1140,20,На складе
Цифровая обработка сигналов на системном уровне с использованием LabVIEW (+CD),"Кехтарнаваз Насер, Ким Намджин",Додека XXI век,1683,2104,20,Ограничено
1С: Предприятие 8.2. Коротко о главном. Новые возможности версии 8.2 (+CD),Радченко Максим Григорьевич,1С:1С: Предприятие 8.2,274,343,20,На складе
"""1С.Предприятие 8"". Конвертация данных. Обмен данными между прикладными решениями (+CD)","Бояркин В.Э., Филатов А. И.",1С:1С: Предприятие 8,266,333,20,На складе
"Как настраивать ""1С:Предприятие 8.2"" при внедрении (+СD)",Ажеронок Валентин Александрович,1С:1С: Предприятие 8.2,266,333,20,На складе
Нейросети и нейрокомпьютеры,"Злобин Владимир Константинович, Ручкин Владимир Николаевич",BHV:Учебное пособие,266,332,20,На складе
