Menzil;Elanin Tarixi;Giymet;Link
4-otaqlı mənzil , Nəsimi r. , 161 m²;Bakı,11 Sentyabr ;210 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-nesimi-r-161-m2-99755/
2-otaqlı mənzil , Nəsimi r. , 106 m²;Bakı,11 Sentyabr ;215 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-nesimi-r-106-m2-99729/
3-otaqlı mənzil , Nərimanov r., 135 m²;Bakı,11 Sentyabr ;238 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-nerimanov-r-135-m2-99725/
4-otaqlı mənzil , Yasamal r., 182 m²;Bakı,11 Sentyabr ;230 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-yasamal-r-182-m2-99721/
3-otaqlı mənzil , Yasamal r. , 135 m²;Bakı,11 Sentyabr ;230 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-yasamal-r-135-m2-99716/
5-otaqlı mənzil , Bünyad Sərdarov küç., 288 m²;Bakı,11 Sentyabr ;540 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/5-otaqli-menzil-satilir-buenyad-serdarov-kuec-288-m2-99656/
3-otaqlı mənzil , Səməd Vurğun küç., 176 m²;Bakı,11 Sentyabr ;420 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-semed-vurgun-kuec-176-m2-99652/
3-otaqlı mənzil , Afiyəddin Cəlilov küç., 141 m²;Bakı,11 Sentyabr ;320 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-afiyeddin-celilov-kuec-141-m2-99647/
3-otaqlı mənzil icarəyə verilir, Təbriz küç., 120 m²;Bakı,11 Sentyabr ;1 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-tebriz-kuec-120-m2-99638/
2-otaqlı mənzil icarəyə verilir, Xətai m\st., 80 m²;Bakı,11 Sentyabr ;700 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-xetai-mst-80-m2-99637/
2-otaqlı mənzil icarəyə verilir, Neftçilər pr., 75 m²;Bakı,11 Sentyabr ;1 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-neftciler-pr-75-m2-99636/
2-otaqlı mənzil , Aşıq Molla Cümə küç., 65 m²;Bakı,11 Sentyabr ;130 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-asiq-molla-cueme-kuec-65-m2-99635/
